id,b,c,v,text,emotion
1,Genesis,1,1,"In the beginning, God created the heavens and the earth.",joy
2,Genesis,1,31,"God saw everything that he had made, and indeed, it was very good.",joy
3,Exodus,20,3,You shall have no other gods before me.,anger
4,Exodus,20,12,"Honor your father and your mother, that your days may be long in the land that the LORD your God is giving you.",joy
5,Psalm,23,1,The LORD is my shepherd; I shall not want.,anger
6,Psalm,23,4,"Even though I walk through the valley of the shadow of death, I will fear no evil, for you are with me; your rod and your staff, they comfort me.",love
7,Proverbs,3,5-6,"Trust in the LORD with all your heart, and do not lean on your own understanding. In all your ways acknowledge him, and he will make straight your paths.",joy
8,Isaiah,40,31,But they who wait for the LORD shall renew their strength; they shall mount up with wings like eagles; they shall run and not be weary; they shall walk and not faint.,sadness
9,Matthew,5,16,"In the same way, let your light shine before others, so that they may see your good works and give glory to your Father who is in heaven.",joy
10,Matthew,6,33,"But seek first the kingdom of God and his righteousness, and all these things will be added to you.",joy
11,John,3,16,"For God so loved the world, that he gave his only Son, that whoever believes in him should not perish but have eternal life.",joy
12,John,8,12,"Again Jesus spoke to them, saying, 'I am the light of the world. Whoever follows me will not walk in darkness, but will have the light of life.'",joy
13,Romans,3,23,For all have sinned and fall short of the glory of God.,sadness
14,Romans,6,23,"For the wages of sin is death, but the free gift of God is eternal life in Christ Jesus our Lord.",joy
15,Ephesians,2,8-9,"For by grace you have been saved through faith. And this is not your own doing; it is the gift of God, not a result of works, so that no one may boast.",joy
16,Philippians,4,6-7,"Do not be anxious about anything, but in everything by prayer and supplication with thanksgiving let your requests be made known to God. And the peace of God, which surpasses all understanding, will guard your hearts and your minds in Christ Jesus.",fear
17,Colossians,3,23,"Whatever you do, work heartily, as for the Lord and not for men.",anger
18,1 Thessalonians,5,16-18,"Rejoice always, pray without ceasing, give thanks in all circumstances; for this is the will of God in Christ Jesus for you.",joy
19,Hebrews,11,1,"Now faith is the assurance of things hoped for, the conviction of things not seen.",joy
20,James,1,5,"If any of you lacks wisdom, let him ask God, who gives generously to all without reproach, and it will be given him.",joy
21,1 Peter,5,7,"Casting all your anxieties on him, because he cares for you.",anger
22,1 John,1,9,"If we confess our sins, he is faithful and just to forgive us our sins and to cleanse us from all unrighteousness.",anger
23,Revelation,21,4,"He will wipe away every tear from their eyes, and death shall be no more, neither shall there be mourning, nor crying, nor pain anymore, for the former things have passed away.",sadness
24,Revelation,22,20-21,"He who testifies to these things says, 'Surely I am coming soon.' Amen. Come, Lord Jesus! The grace of the Lord Jesus be with all. Amen.",joy
25,Genesis,12,2,"And I will make of you a great nation, and I will bless you and make your name great, so that you will be a blessing.",joy
26,Exodus,14,14,"The LORD will fight for you, and you have only to be silent.",anger
27,Deuteronomy,6,5,You shall love the LORD your God with all your heart and with all your soul and with all your might.,joy
28,Joshua,1,9,"Have I not commanded you? Be strong and courageous. Do not be frightened, and do not be dismayed, for the LORD your God is with you wherever you go.",sadness
29,1 Samuel,16,7,"But the LORD said to Samuel, 'Do not look on his appearance or on the height of his stature, because I have rejected him. For the LORD sees not as man sees: man looks on the outward appearance, but the LORD looks on the heart.'",sadness
30,2 Chronicles,7,14,"If my people who are called by my name humble themselves, and pray and seek my face and turn from their wicked ways, then I will hear from heaven and will forgive their sin and heal their land.",anger
31,Psalm,27,1,The LORD is my light and my salvation; whom shall I fear? The LORD is the stronghold of my life; of whom shall I be afraid?,fear
32,Psalm,46,10,"Be still, and know that I am God. I will be exalted among the nations, I will be exalted in the earth!",joy
33,Psalm,91,1,He who dwells in the shelter of the Most High will abide in the shadow of the Almighty.,anger
34,Psalm,119,105,Your word is a lamp to my feet and a light to my path.,anger
35,Proverbs,4,23,"Keep your heart with all vigilance, for from it flow the springs of life.",joy
36,Isaiah,26,3,"You keep him in perfect peace whose mind is stayed on you, because he trusts in you.",joy
37,Jeremiah,29,11,"For I know the plans I have for you, declares the LORD, plans for welfare and not for evil, to give you a future and a hope.",joy
38,Lamentations,3,22-23,The steadfast love of the LORD never ceases; his mercies never come to an end; they are new every morning; great is your faithfulness.,joy
39,Matthew,11,28,"Come to me, all who labor and are heavy laden, and I will give you rest.",joy
40,Matthew,28,19-20,"Go therefore and make disciples of all nations, baptizing them in the name of the Father and of the Son and of the Holy Spirit, teaching them to observe all that I have commanded you. And behold, I am with you always, to the end of the age.",joy
41,Mark,12,30-31,And you shall love the Lord your God with all your heart and with all your soul and with all your mind and with all your strength. The second is this: You shall love your neighbor as yourself. There is no other commandment greater than these.,joy
42,John,14,6,"Jesus said to him, 'I am the way, and the truth, and the life. No one comes to the Father except through me.'",anger
43,John,15,5,"I am the vine; you are the branches. Whoever abides in me and I in him, he it is that bears much fruit, for apart from me you can do nothing.",anger
44,Acts,1,8,"But you will receive power when the Holy Spirit has come upon you, and you will be my witnesses in Jerusalem and in all Judea and Samaria, and to the end of the earth.",joy
45,Romans,8,28,"And we know that in all things God works for the good of those who love him, who have been called according to his purpose.",love
